material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
Gd,2.943,3.896,0.4987,1.52,0.601,0.414,0.0687,2.628,15422.84,599.8
Gd,1.548,0.324,0.4855,1.09,0.73,0.414,0.7247,9.357,4861.53,237.1
Gd,2.957,0.511,0.4853,13.42,0.606,0.418,1.4513,9.381,15539.82,5329.5
Gd,2.997,3.773,0.4989,13.99,0.611,0.402,0.1112,2.797,19636.1,5627.5
Gd,2.993,3.773,0.4994,5.01,0.601,0.402,0.106,3.024,18786.01,2010.5
Gd,2.836,3.773,0.4855,1.01,0.601,0.414,0.0618,2.569,12967.84,383.7
Gd,2.938,3.181,0.4619,2.82,0.611,0.414,0.6196,3.663,15495.4,1112.3
Gd,2.124,0.511,0.4853,13.42,0.606,0.43,1.4513,9.39,10118.32,3902.8
Gd,1.69,1.45,0.4788,1.17,0.773,0.414,0.0936,6.536,6111.51,274.8
Gd,2.938,1.46,0.4616,4.95,0.774,0.401,0.6188,7.147,14966.19,1953.8
Gd,2.968,1.807,0.4713,3.99,0.711,0.402,0.4428,6.256,15438.19,1589.0
Gd,1.576,3.599,0.493,1.03,0.606,0.414,0.1086,3.363,5520.92,228.4
Gd,2.878,0.322,0.481,1.01,0.601,0.418,0.0934,8.815,13045.46,391.0
Gd,2.962,1.664,0.4991,4.21,0.602,0.403,0.4428,6.675,16028.68,1673.5
Gd,2.943,3.904,0.4987,4.93,0.778,0.414,0.0687,2.729,18539.93,1948.5
Gd,2.624,1.223,0.4846,10.38,0.601,0.414,1.4991,8.228,14793.71,3679.6
Gd,2.999,1.108,0.4754,10.8,0.63,0.403,1.5674,8.299,16852.41,4344.6
Gd,2.935,0.484,0.4513,12.33,0.794,0.401,0.9303,9.285,14128.26,4862.1
Gd,2.873,0.556,0.4912,1.22,0.61,0.414,0.1108,8.563,13292.05,472.0
Gd,2.993,1.505,0.4916,10.35,0.601,0.402,0.4272,7.235,18167.06,4156.1
Gd,2.9,0.308,0.4854,1.52,0.601,0.414,0.4044,9.379,12998.13,591.5
Gd,2.946,0.572,0.4839,4.17,0.695,0.417,0.4424,8.902,13402.39,1649.1
