family,n_layers,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_per_stage_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_cascade,Qc_W,cost_index_USD
Gd,1,1.253,3.885,0.4927,2.97,0.615,0.42,0.2293,3.858,9236.0,534.4
Gd,1,1.277,0.768,0.4462,7.95,0.915,0.42,1.4575,6.66,7432.7,1453.0
Gd,1,1.047,0.3,0.4902,5.33,0.803,0.419,1.3001,9.038,6923.8,817.9
Gd,1,1.212,3.823,0.4902,1.91,0.921,0.444,1.2451,4.07,7556.7,332.8
Gd,1,1.232,0.323,0.491,2.95,0.615,0.415,1.3305,9.52,6796.1,522.3
Gd,1,1.321,0.302,0.4982,7.43,0.621,0.42,0.48,8.235,7401.0,1400.3
Gd,2,1.188,4.771,0.4891,3.06,0.842,0.418,0.6102,2.548,14730.6,1050.1
Gd,2,1.443,1.283,0.4297,8.68,0.818,0.414,0.2873,3.719,13155.0,3541.2
Gd,2,1.583,2.896,0.4934,7.43,0.621,0.421,1.7053,2.532,15283.6,3297.8
Gd,2,1.716,0.661,0.483,13.87,0.621,0.417,0.4006,4.27,14319.6,6624.5
Gd,2,1.24,2.503,0.4941,2.52,0.844,0.415,0.5126,4.147,12980.0,898.5
Gd,2,1.182,1.283,0.4312,8.68,0.633,0.414,0.2873,3.777,13054.6,2962.0
Gd,2,1.303,1.725,0.4883,8.04,0.609,0.477,0.4838,3.346,13391.4,2991.2
Gd,2,1.275,0.511,0.491,2.52,0.753,0.42,0.406,6.545,11486.2,918.4
Gd,3,1.579,0.414,0.4958,2.16,0.619,0.417,0.5205,5.264,13042.6,1431.5
Gd,3,1.281,0.506,0.491,7.51,0.621,0.421,0.3664,4.028,13055.4,4129.4
Gd,3,1.339,2.25,0.4911,14.46,0.622,0.418,0.4464,1.728,17976.8,8273.5
Gd,3,1.27,4.786,0.4863,2.17,0.619,0.417,0.3702,1.962,15994.0,1186.6
Gd,3,1.19,0.457,0.4954,14.57,0.781,0.42,0.6727,3.745,15026.6,7502.9
Gd,3,1.282,0.505,0.4958,1.53,0.619,0.417,0.402,5.301,12914.1,844.7
Gd,3,1.55,0.34,0.4909,7.56,0.619,0.417,0.4684,4.495,13163.5,4937.1
Gd,3,1.577,0.505,0.491,14.37,0.621,0.423,0.425,3.5,15475.2,9529.0
Gd,3,1.347,4.829,0.4918,7.51,0.809,0.42,0.325,1.275,18066.8,4319.4
Gd,3,1.239,1.499,0.4908,1.01,0.817,0.491,0.2176,4.063,10795.2,541.7
Gd,3,1.254,2.25,0.491,7.39,0.612,0.418,0.4029,2.457,17162.9,3987.6
