material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
Gd,1.509,2.619,0.3444,1.14,0.662,0.352,0.1969,3.364,2577.04,1004.2
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.271,1.759,0.4901,1.76,0.666,0.352,0.1893,6.01,6415.52,1314.7
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.572,0.312,0.4902,2.53,0.604,0.426,1.809,9.534,6552.96,2329.0
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.119,0.854,0.4867,2.61,0.601,0.401,1.543,8.151,6468.64,1725.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.362,2.049,0.3413,2.42,0.676,0.403,0.1722,9.348,22323.95,1903.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.465,2.74,0.4872,8.73,0.814,0.354,1.6896,8.267,32151.39,7389.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.679,1.418,0.4493,8.76,0.683,0.404,1.4566,9.949,32120.03,8486.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.678,1.363,0.4501,7.79,0.683,0.404,1.4566,10.007,31496.82,7548.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.47,1.762,0.4821,13.11,0.815,0.438,1.6834,9.623,35593.89,11137.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.488,1.763,0.4848,13.39,0.815,0.438,1.6841,9.604,35858.69,11508.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.678,2.779,0.4875,2.51,0.683,0.445,0.2438,6.621,32109.81,3862.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.839,3.312,0.4839,13.29,0.877,0.432,0.1713,6.772,38100.27,14096.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.968,2.031,0.4851,14.01,0.665,0.422,1.4211,7.816,38303.79,23912.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.68,2.06,0.4873,13.1,0.683,0.404,0.1715,7.336,38564.43,20202.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.298,1.888,0.4887,3.94,0.683,0.403,1.4397,9.868,30593.73,2958.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.752,2.05,0.4803,2.47,0.676,0.403,0.1722,8.906,29046.42,2497.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.678,1.363,0.4497,7.75,0.683,0.404,0.181,9.375,32306.66,7506.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.679,3.071,0.4823,7.84,0.679,0.403,1.4206,8.278,36001.63,7592.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.697,1.998,0.4872,9.41,0.683,0.408,0.2801,9.111,36810.96,9215.3
"Ga1-xCMn3+x (tuned, Tc=295.5K)",1.228,2.705,0.4942,1.35,0.876,0.12,1.6239,0.0,0.0,973.3
