span_K,Graded_1stage_COP,Graded_1stage_Qc_W,Graded_1stage_n_fallback_to_Gd,Graded_2stage_COP,Graded_2stage_Qc_W,Graded_2stage_n_fallback_to_Gd,Graded_3stage_COP,Graded_3stage_Qc_W,Graded_3stage_n_fallback_to_Gd,Graded_4stage_COP,Graded_4stage_Qc_W,Graded_4stage_n_fallback_to_Gd
5,10.239,2127.6,0,6.984,2520.4,0,5.236,2641.1,0,4.186,2707.6,0
6,9.187,1978.3,0,6.544,2437.4,0,5.002,2594.4,0,4.036,2675.6,0
7,8.255,1821.2,0,6.155,2363.7,0,4.784,2545.3,0,3.899,2636.3,0
8,7.431,1663.4,0,5.788,2280.3,0,4.572,2486.6,0,3.764,2594.4,0
9,6.698,1509.2,0,5.467,2206.5,0,4.387,2437.4,0,3.639,2552.8,0
10,6.02,1352.3,0,5.172,2127.6,0,4.208,2388.1,0,3.522,2520.4,0
11,5.386,1195.3,0,4.893,2051.7,0,4.046,2339.2,0,3.411,2478.8,0
12,4.785,1040.3,0,4.643,1978.3,0,3.576,2280.3,1,3.084,2437.4,1
13,4.221,893.0,0,4.406,1894.9,0,3.373,2231.1,1,2.941,2395.5,1
14,3.626,735.9,0,3.517,1821.2,1,3.171,2181.9,1,2.806,2363.7,1
15,3.018,581.3,0,3.175,1737.5,1,2.971,2127.6,1,2.669,2322.0,1
16,2.355,423.8,0,2.826,1663.4,1,2.77,2076.6,1,2.395,2280.3,2
17,1.616,267.4,0,2.451,1583.1,1,2.565,2027.0,1,2.247,2248.4,2
18,0.738,109.8,0,2.035,1509.2,1,2.353,1978.3,1,2.096,2206.5,2
19,,,0,1.543,1435.8,1,2.125,1919.5,1,1.943,2165.1,2
20,,,1,0.913,1352.3,1,1.755,1870.2,2,1.786,2127.6,2
