material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.067,4.298,0.4876,2.74,0.689,0.391,0.1478,8.437,34049.89,1695.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.025,3.615,0.4319,2.22,0.701,0.392,0.8185,9.01,27910.48,1322.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.004,1.236,0.482,4.9,0.678,0.392,1.7447,10.194,28143.9,2853.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.017,1.257,0.4265,6.45,0.712,0.391,0.1478,9.497,28800.24,3803.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.046,1.277,0.4587,6.48,0.701,0.392,1.8784,10.247,29329.91,3928.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.024,0.749,0.4321,2.22,0.704,0.394,0.8185,10.313,22868.45,1320.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.492,0.749,0.459,1.47,0.704,0.406,1.7069,10.118,21781.56,1267.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.025,4.75,0.4705,2.12,0.646,0.399,1.398,8.255,29703.39,1263.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.047,0.739,0.4322,6.6,0.701,0.393,1.3563,10.325,25286.25,4005.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.089,1.039,0.412,1.18,0.72,0.34,0.2116,9.125,19122.95,744.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.009,3.525,0.4177,7.29,0.729,0.412,1.063,8.952,31344.1,4269.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.066,4.298,0.4877,4.86,0.689,0.391,0.2514,8.463,35872.19,3004.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.365,0.745,0.3686,1.18,0.704,0.47,0.288,9.789,18771.7,930.3
"Ga1-xCMn3+x (tuned, Tc=295.5K)",1.006,3.892,0.212,1.04,0.853,0.509,0.723,0.0,0.0,622.8
