family,n_layers,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_per_stage_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_cascade,Qc_W,cost_index_USD
Gd,3,1.299,1.542,0.4427,7.41,0.781,0.471,1.6852,2.731,13316.5,4127.5
Gd,3,1.579,0.414,0.4958,2.16,0.619,0.417,0.5205,5.264,13042.6,1431.5
Gd,3,1.281,0.506,0.491,7.51,0.621,0.421,0.3664,4.028,13055.4,4129.4
Gd,3,1.339,2.25,0.4911,14.46,0.622,0.418,0.4464,1.728,17976.8,8273.5
Gd,3,1.27,4.786,0.4863,2.17,0.619,0.417,0.3702,1.962,15994.0,1186.6
Gd,3,1.19,0.457,0.4954,14.57,0.781,0.42,0.6727,3.745,15026.6,7502.9
Gd,3,1.282,0.505,0.4958,1.53,0.619,0.417,0.402,5.301,12914.1,844.7
Gd,3,1.55,0.34,0.4909,7.56,0.619,0.417,0.4684,4.495,13163.5,4937.1
Gd,3,1.577,0.505,0.491,14.37,0.621,0.423,0.425,3.5,15475.2,9529.0
Gd,3,1.347,4.829,0.4918,7.51,0.809,0.42,0.325,1.275,18066.8,4319.4
Gd,3,1.239,1.499,0.4908,1.01,0.817,0.491,0.2176,4.063,10795.2,541.7
Gd,3,1.254,2.25,0.491,7.39,0.612,0.418,0.4029,2.457,17162.9,3987.6
