material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
Gd,1.987,0.327,0.4605,2.31,0.669,0.411,1.3361,9.357,7025.59,631.1
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.018,0.343,0.4866,2.76,0.781,0.41,1.0382,9.48,6751.27,414.1
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.239,1.454,0.3569,1.7,0.781,0.387,1.0393,7.881,4801.84,302.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.211,3.509,0.477,1.88,0.885,0.425,0.3062,8.317,30484.53,305.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.344,0.584,0.2632,5.74,0.883,0.417,1.8889,9.681,16027.25,1028.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.144,3.043,0.4895,14.46,0.795,0.409,1.6974,9.216,37280.67,2226.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.089,2.972,0.4919,2.17,0.795,0.41,1.6559,8.698,27581.75,319.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.187,3.535,0.4918,5.8,0.708,0.37,1.6524,8.39,33096.19,925.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.143,2.931,0.4524,5.44,0.727,0.413,1.6443,9.056,31885.77,836.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.357,4.041,0.4793,2.12,0.686,0.422,0.3844,7.725,32338.2,383.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.769,1.167,0.4893,14.91,0.825,0.41,1.6967,9.709,36176.51,3483.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.27,2.972,0.492,6.73,0.795,0.421,1.6975,8.948,35369.72,1143.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.105,1.197,0.4131,14.82,0.793,0.41,1.6991,9.919,30444.49,2206.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.855,3.535,0.4916,14.46,0.727,0.409,0.1883,5.317,39950.78,5378.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.542,3.816,0.4935,8.14,0.892,0.414,1.7212,7.842,36911.48,1664.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.246,1.49,0.3729,9.62,0.794,0.401,1.9722,9.656,26799.27,1604.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.357,1.182,0.4793,1.89,0.686,0.422,0.4508,9.328,26411.32,342.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.247,1.552,0.4886,8.11,0.827,0.401,1.9722,9.624,33461.74,1354.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.247,1.511,0.4524,4.74,0.727,0.425,1.9696,9.452,28031.33,791.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.187,3.502,0.4918,14.68,0.708,0.41,1.6992,8.89,37683.09,2339.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.909,1.202,0.4912,14.28,0.728,0.413,1.6748,9.143,37323.43,5411.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.269,3.043,0.4937,14.73,0.728,0.41,0.3836,8.792,38465.13,2501.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.873,3.544,0.4918,7.93,0.901,0.409,0.1883,5.383,39230.21,2966.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.105,1.174,0.4771,14.82,0.793,0.41,1.6668,9.917,34727.38,2206.0
