family,n_layers,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_per_stage_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_cascade,Qc_W,cost_index_USD
Gd,1,1.277,2.872,0.4904,2.24,0.803,0.417,0.3393,4.862,8213.2,408.6
Gd,1,1.332,4.856,0.4918,6.33,0.809,0.416,0.3346,2.31,10024.7,1201.2
Gd,1,1.015,0.76,0.487,8.11,0.614,0.42,0.3694,6.075,8019.4,1212.3
Gd,1,1.355,2.25,0.4875,5.92,0.874,0.415,0.535,4.424,9331.5,1140.4
Gd,1,1.295,1.972,0.4903,2.05,0.817,0.416,0.359,5.856,7205.3,378.5
Gd,1,1.277,0.505,0.4909,2.24,0.619,0.417,0.3696,8.414,7211.0,408.6
Gd,1,2.821,0.635,0.4869,14.4,0.809,0.418,0.5357,5.557,9703.1,5467.6
Gd,1,1.277,4.68,0.4904,2.28,0.829,0.416,0.3696,3.333,9036.8,417.5
Gd,1,2.836,4.665,0.4985,8.19,0.62,0.418,0.3695,1.24,11179.8,3125.4
