family,n_layers,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_per_stage_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_cascade,Qc_W,cost_index_USD
Gd,1,1.33,1.34,0.4921,2.66,0.819,0.42,0.319,7.946,7286.4,505.1
Gd,1,1.558,2.58,0.4908,7.1,0.822,0.419,0.5528,5.95,9802.5,1551.7
Gd,1,1.464,1.533,0.4904,14.61,0.853,0.434,1.7126,7.41,9662.2,3019.0
Gd,1,1.583,1.533,0.4884,1.63,0.614,0.402,1.0547,7.403,6738.6,361.4
Gd,1,1.561,2.58,0.4903,3.65,0.854,0.407,0.5895,6.029,8980.0,799.5
Gd,1,1.583,0.506,0.4899,7.59,0.821,0.42,1.0547,8.892,7299.3,1683.5
Gd,1,1.397,0.506,0.4904,14.79,0.854,0.42,1.7126,8.989,8512.8,2928.7
Gd,1,1.298,0.506,0.49,1.53,0.621,0.381,1.7126,8.94,5857.3,283.3
Gd,1,1.295,1.401,0.4226,1.5,0.619,0.403,0.3722,8.009,6143.6,277.2
Gd,1,1.294,0.473,0.491,4.2,0.823,0.411,0.7506,9.137,7161.3,776.4
Gd,1,1.294,4.256,0.4884,1.59,0.834,0.42,0.3027,4.497,8284.1,294.8
Gd,1,1.287,1.34,0.4961,7.59,0.822,0.42,0.589,8.127,9121.2,1397.2
Gd,1,1.288,1.811,0.4912,4.61,0.802,0.467,0.7608,7.346,8006.3,848.7
Gd,1,1.329,2.862,0.4235,1.16,0.91,0.42,0.3744,5.52,6156.6,219.6
Gd,1,1.294,4.256,0.4899,7.15,0.815,0.401,1.0558,4.54,9728.6,1322.8
Gd,1,1.387,0.506,0.4903,3.25,0.854,0.407,1.7126,9.139,6702.9,639.2
Gd,1,1.464,1.525,0.4908,14.44,0.853,0.434,0.5483,7.106,9825.3,2985.6
