family,n_layers,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_per_stage_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_cascade,Qc_W,cost_index_USD
"(Mn,Fe)2(P,Si)",1,2.708,1.596,0.4935,8.13,0.656,0.464,0.2539,6.545,13372.9,12767.5
"(Mn,Fe)2(P,Si)",1,2.728,4.147,0.4398,7.84,0.645,0.416,0.5685,2.62,13773.2,12405.8
"(Mn,Fe)2(P,Si)",1,2.835,0.513,0.47,8.63,0.684,0.423,1.3293,9.952,11324.3,14173.8
"(Mn,Fe)2(P,Si)",1,2.727,4.926,0.4938,2.43,0.656,0.445,0.5601,1.987,13735.4,3839.7
"(Mn,Fe)2(P,Si)",1,2.714,1.255,0.49,2.16,0.621,0.415,0.5774,7.777,10867.7,3395.6
"(Mn,Fe)2(P,Si)",1,1.121,4.09,0.3852,2.24,0.646,0.425,0.9219,1.876,1492.6,1483.7
"(Mn,Fe)2(P,Si)",1,2.702,1.154,0.4266,7.46,0.647,0.417,0.429,8.306,11908.0,11688.7
"(Mn,Fe)2(P,Si)",1,2.965,3.654,0.4996,8.06,0.733,0.388,1.0782,3.21,16635.9,13836.7
"(Mn,Fe)2(P,Si)",1,2.953,1.252,0.4961,8.06,0.684,0.422,1.3342,8.374,15197.6,13782.6
"(Mn,Fe)2(P,Si)",1,2.728,0.319,0.4938,2.43,0.733,0.444,0.5601,10.102,10810.8,3840.5
"(Mn,Fe)2(P,Si)",1,2.65,0.528,0.4922,1.03,0.665,0.465,1.4285,9.25,8492.6,1579.2
