material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
Gd,1.509,2.619,0.3444,1.14,0.662,0.352,0.1969,3.364,2577.04,1004.2
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.271,1.759,0.4901,1.76,0.666,0.352,0.1893,6.01,6415.52,1314.7
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.119,0.854,0.4867,2.61,0.601,0.401,1.543,8.151,6468.64,1725.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.678,1.363,0.4501,7.79,0.745,0.404,0.1423,9.12,32364.79,7549.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.362,2.031,0.3425,2.59,0.664,0.403,0.1702,9.387,22685.83,2043.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.465,2.74,0.4851,13.18,0.666,0.447,1.6896,8.567,36016.84,11160.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.465,2.898,0.4872,8.73,0.814,0.354,1.6896,8.109,32168.85,7389.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.436,2.046,0.3789,6.53,0.683,0.446,0.1723,8.992,27587.35,5418.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.678,0.686,0.4501,7.71,0.746,0.404,0.1423,9.253,28224.86,7470.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.964,2.906,0.4872,14.01,0.665,0.423,1.6944,6.188,38771.76,23875.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.436,2.691,0.4885,2.29,0.683,0.445,0.1754,8.78,30271.88,1899.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.968,2.031,0.4851,14.01,0.665,0.422,1.4211,7.814,38254.6,23912.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.7,1.16,0.3746,14.02,0.62,0.39,0.5806,9.744,28003.56,13754.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.476,1.092,0.2732,2.59,0.664,0.403,0.1702,9.839,16324.28,2212.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.476,1.096,0.3782,4.95,0.683,0.391,0.5658,10.097,24232.0,4225.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.347,2.124,0.34,2.78,0.704,0.391,0.082,8.854,22806.43,2169.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",2.95,0.784,0.4872,14.01,0.665,0.422,1.6944,10.094,35317.01,23769.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.361,2.045,0.3431,7.84,0.745,0.391,0.5847,9.288,25458.31,6171.7
"Ga1-xCMn3+x (tuned, Tc=295.5K)",1.228,2.705,0.4942,1.35,0.876,0.12,1.6239,0.0,0.0,973.3
