family,n_layers,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_per_stage_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_cascade,Qc_W,cost_index_USD
Gd,2,1.358,3.031,0.4986,3.46,0.817,0.405,0.1769,4.052,14741.6,1337.3
Gd,2,1.241,1.168,0.4908,1.85,0.761,0.371,1.9159,5.694,9153.5,660.6
Gd,2,1.786,0.534,0.492,2.28,0.806,0.401,1.7071,6.211,10432.5,1131.1
Gd,2,1.684,3.11,0.4908,2.24,0.617,0.416,0.1817,3.452,13698.4,1052.4
Gd,2,1.362,1.422,0.4227,2.0,0.847,0.466,0.1773,5.095,9313.0,773.1
Gd,2,1.127,0.527,0.49,14.77,0.853,0.379,0.6285,5.822,13166.6,4835.3
Gd,2,1.279,2.603,0.4889,8.12,0.685,0.417,0.5644,4.608,15467.8,2972.8
Gd,2,1.219,1.03,0.4949,6.1,0.685,0.388,1.9548,5.946,12206.9,2140.2
Gd,2,1.341,2.251,0.492,2.52,0.816,0.405,0.1844,4.674,12773.2,961.1
Gd,2,1.149,0.363,0.4908,6.82,0.621,0.422,1.7126,6.351,11086.6,2271.8
Gd,2,1.144,1.351,0.4976,14.91,0.709,0.389,0.3532,4.964,15336.2,4945.4
Gd,2,1.279,1.351,0.497,8.8,0.603,0.417,0.3343,5.329,14958.2,3223.7
Gd,2,1.219,1.032,0.4907,5.41,0.709,0.389,1.928,5.934,11668.9,1899.4
Gd,2,1.241,1.168,0.4908,14.21,0.763,0.389,1.7106,5.668,14684.2,5066.6
Gd,2,1.53,2.248,0.492,14.47,0.761,0.389,0.1843,3.463,15846.8,6224.0
