span_K,Graded_1stage_COP,Graded_1stage_Qc_W,Graded_1stage_n_fallback_to_Gd,Graded_2stage_COP,Graded_2stage_Qc_W,Graded_2stage_n_fallback_to_Gd,Graded_3stage_COP,Graded_3stage_Qc_W,Graded_3stage_n_fallback_to_Gd,Graded_4stage_COP,Graded_4stage_Qc_W,Graded_4stage_n_fallback_to_Gd
5,7.27,2127.6,0,4.444,2520.4,0,3.179,2641.1,0,2.474,2707.6,0
6,6.746,1978.3,0,4.268,2437.4,0,3.094,2594.4,0,2.423,2675.6,0
7,6.254,1821.2,0,4.105,2363.7,0,3.012,2545.3,0,2.374,2636.3,0
8,5.793,1663.4,0,3.945,2280.3,0,2.93,2486.6,0,2.325,2594.4,0
9,5.363,1509.2,0,3.799,2206.5,0,2.855,2437.4,0,2.278,2552.8,0
10,4.945,1352.3,0,3.66,2127.6,0,2.781,2388.1,0,2.233,2520.4,0
11,4.537,1195.3,0,3.524,2051.7,0,2.711,2339.2,0,2.189,2478.8,0
12,4.132,1040.3,0,3.398,1978.3,0,2.509,2280.3,1,2.061,2437.4,1
13,3.736,893.0,0,3.275,1894.9,0,2.414,2231.1,1,2.0,2395.5,1
14,3.298,735.9,0,2.798,1821.2,1,2.315,2181.9,1,1.94,2363.7,1
15,2.827,581.3,0,2.593,1737.5,1,2.214,2127.6,1,1.878,2322.0,1
16,2.283,423.8,0,2.375,1663.4,1,2.109,2076.6,1,1.75,2280.3,2
17,1.632,267.4,0,2.126,1583.1,1,1.998,2027.0,1,1.676,2248.4,2
18,0.785,109.8,0,1.832,1509.2,1,1.877,1978.3,1,1.597,2206.5,2
19,,,0,1.456,1435.8,1,1.741,1919.5,1,1.514,2165.1,2
20,,,1,0.918,1352.3,1,1.507,1870.2,2,1.425,2127.6,2
