family,n_layers,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_per_stage_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_cascade,Qc_W,cost_index_USD
Gd,3,1.347,4.856,0.4929,6.38,0.828,0.418,0.2154,1.345,18021.4,15134.3
Gd,3,1.347,2.58,0.4929,6.29,0.854,0.418,0.2203,2.277,17293.4,14927.8
Gd,3,2.219,4.519,0.4916,2.08,0.761,0.416,0.3376,1.18,16443.1,8048.5
Gd,3,2.219,4.605,0.4916,7.35,0.779,0.416,0.3376,0.951,18562.3,28460.9
Gd,3,1.286,0.641,0.491,8.13,0.621,0.444,0.3392,3.693,13686.0,18456.7
Gd,3,1.347,1.468,0.4929,6.24,0.828,0.42,0.3318,3.182,16078.9,14800.3
Gd,3,1.298,0.438,0.4908,2.24,0.817,0.417,0.3695,5.182,12922.1,5115.0
Gd,3,1.177,4.5,0.491,2.15,0.765,0.384,0.3991,2.165,15391.7,4469.2
Gd,3,2.262,0.364,0.4908,2.29,0.619,0.415,1.0307,5.267,12716.1,9020.0
Gd,3,1.288,1.354,0.4867,1.92,0.621,0.415,1.0482,4.215,12031.3,4361.0
Gd,3,1.347,1.468,0.4929,14.53,0.829,0.42,0.3318,2.22,17663.3,34487.7
