material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.163,1.958,0.4923,6.68,0.911,0.438,1.1063,7.643,9010.27,1124.3
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.122,0.67,0.4932,2.15,0.832,0.422,0.2836,8.877,7194.13,349.8
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.118,1.21,0.4764,4.4,0.669,0.415,0.4914,8.417,7565.32,715.1
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.351,1.244,0.4998,9.76,0.613,0.422,1.1062,8.255,9359.72,1876.4
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.216,1.216,0.4937,5.94,0.695,0.422,1.1067,8.513,8328.27,1039.9
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.01,1.976,0.4924,4.35,0.884,0.438,0.4748,7.859,8513.49,647.6
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.427,4.2,0.4987,4.23,0.62,0.422,0.2603,4.292,9872.94,854.6
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.42,4.2,0.4987,7.79,0.88,0.422,0.5495,4.259,10201.16,1565.7
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.015,2.419,0.4995,2.13,0.714,0.402,1.1028,7.355,7147.53,318.1
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.067,3.835,0.4907,4.33,0.832,0.402,0.2482,5.636,9405.41,675.4
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.102,0.467,0.4932,14.25,0.879,0.402,1.7264,9.027,8111.38,2286.9
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.108,1.184,0.4986,8.13,0.613,0.422,1.2437,8.594,8833.7,1311.2
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.049,0.35,0.4999,9.66,0.614,0.411,1.0969,9.06,7216.36,1485.7
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.013,1.946,0.4949,7.96,0.878,0.402,0.487,7.624,9365.45,1186.9
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.05,0.441,0.4999,4.33,0.617,0.422,1.1125,9.249,7058.95,665.7
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.22,0.415,0.4989,4.54,0.86,0.431,1.0976,9.208,7105.87,797.5
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.018,0.411,0.4781,1.93,0.832,0.415,1.0347,9.365,6496.58,289.1
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.346,1.95,0.5,9.8,0.632,0.402,1.1089,7.229,9732.05,1878.2
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.118,2.816,0.4996,8.92,0.652,0.402,0.4936,6.406,9861.77,1449.7
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.159,1.958,0.4923,6.68,0.887,0.432,0.1456,6.041,9291.43,1120.8
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.067,4.021,0.4907,2.22,0.832,0.402,0.2836,5.617,8663.28,347.1
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.013,1.982,0.4987,4.23,0.626,0.439,0.2603,7.502,8618.13,631.1
