material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
Gd,2.645,0.431,0.4146,1.02,0.925,0.422,1.018,9.975,8968.81,1570.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.487,1.269,0.4908,14.52,0.854,0.421,0.5388,9.955,36778.45,12480.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.077,2.355,0.4935,4.94,0.695,0.422,1.5941,9.885,33132.67,3082.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.094,2.472,0.4935,14.08,0.602,0.42,1.6948,9.381,37234.13,8932.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.515,3.521,0.4873,7.42,0.715,0.42,0.4063,8.14,37338.3,6494.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.218,2.472,0.4908,1.45,0.623,0.371,0.618,8.968,24772.1,1026.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.35,1.334,0.4909,7.32,0.622,0.42,0.5622,10.214,34015.17,5717.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.561,0.454,0.4908,14.46,0.851,0.421,0.6377,10.359,31742.1,13039.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.218,2.592,0.4908,4.86,0.695,0.421,1.6953,9.55,33243.45,3429.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.221,3.76,0.4911,9.5,0.623,0.421,1.5973,8.422,36933.99,6717.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.512,2.375,0.4908,7.04,0.625,0.422,1.066,9.366,35833.52,6144.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.561,4.039,0.4908,14.71,0.852,0.42,0.5767,7.084,38636.78,13258.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.209,0.44,0.4874,1.16,0.725,0.482,0.7124,9.588,22270.53,813.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.506,0.579,0.4884,2.82,0.702,0.389,1.8563,10.146,24116.29,2451.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.107,3.972,0.4897,1.69,0.727,0.419,0.5852,8.71,30399.67,1083.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.221,0.351,0.49,7.06,0.621,0.421,1.6726,10.435,26437.06,4991.1
"Ga1-xCMn3+x (tuned, Tc=295.5K)",1.018,2.359,0.2642,1.12,0.821,0.154,1.3434,0.0,0.0,673.5
