span_K,COP_electrical_mean,COP_electrical_p05,COP_electrical_p95,Qc_mean_W,Qc_p05_W,Qc_p95_W
5,1.967,1.553,2.525,1115.7,1115.7,1115.7
6,2.475,2.062,2.96,1546.0,1546.0,1546.0
7,2.913,2.398,3.431,1988.7,1988.7,1988.7
8,2.62,2.194,3.086,1751.7,1751.7,1751.7
9,2.331,1.949,2.772,1515.5,1515.5,1515.5
10,2.04,1.676,2.494,1280.1,1280.1,1280.1
11,1.745,1.384,2.262,1045.7,1045.7,1045.7
12,1.437,1.091,2.059,812.3,812.3,812.3
13,1.11,0.793,1.841,579.8,579.8,579.8
14,0.752,0.488,1.516,348.2,348.2,348.2
15,0.337,0.17,0.796,117.8,117.8,117.8
16,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan
19,nan,nan,nan,nan,nan,nan
20,nan,nan,nan,nan,nan,nan
