material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.59,4.088,0.4996,7.97,0.698,0.436,0.5542,6.934,38208.98,1680.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.077,2.607,0.4855,1.27,0.814,0.427,0.9412,8.579,24537.0,184.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.553,3.956,0.4971,14.9,0.732,0.421,0.9417,6.812,39072.04,3069.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.569,4.096,0.4859,4.03,0.699,0.42,0.5542,7.119,35797.61,837.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.056,3.983,0.4859,3.19,0.665,0.42,0.7613,8.295,33888.89,455.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.308,1.508,0.4856,8.1,0.793,0.427,0.9289,9.255,34346.75,1415.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.558,1.521,0.4867,14.14,0.665,0.424,1.7861,8.992,36223.86,2923.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.315,1.011,0.4846,2.32,0.664,0.42,0.5541,9.321,26626.63,407.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.08,3.617,0.4846,8.03,0.665,0.42,0.7558,8.232,36644.55,1170.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.291,0.497,0.4845,3.94,0.676,0.427,0.7645,9.461,26568.37,679.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.076,0.365,0.4845,8.03,0.665,0.42,0.7558,9.438,26834.52,1166.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.077,2.604,0.4855,13.8,0.7,0.42,1.7494,8.527,36623.19,2005.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.223,3.996,0.4904,1.25,0.697,0.42,0.5508,7.579,27739.63,204.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.654,0.745,0.491,7.87,0.682,0.421,1.6379,9.398,29929.31,1723.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.077,2.604,0.4855,13.8,0.811,0.427,0.7955,8.495,37092.95,2005.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.22,2.606,0.4981,5.33,0.695,0.392,1.7308,8.668,33618.24,871.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.244,2.135,0.4904,5.5,0.815,0.392,1.6428,8.903,32728.63,915.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.077,0.355,0.4845,1.27,0.817,0.426,0.9412,9.478,24495.37,184.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.322,1.759,0.4997,4.07,0.661,0.369,0.765,8.78,30043.76,719.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.299,1.507,0.4859,3.19,0.793,0.426,0.7613,9.095,27710.44,554.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.799,0.465,0.4998,13.66,0.7,0.421,1.7477,9.502,31520.33,3241.5
