material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.83,0.749,0.459,2.77,0.704,0.394,1.708,10.045,23516.55,2927.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.013,0.748,0.4312,2.18,0.703,0.472,0.2838,9.727,21731.5,1283.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.025,3.615,0.4319,2.22,0.701,0.392,0.8185,9.01,27910.48,1322.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.095,4.722,0.4703,2.13,0.663,0.399,1.398,8.047,29730.8,1348.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.024,0.749,0.4321,2.22,0.704,0.394,0.8185,10.313,22868.45,1320.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.017,1.257,0.4265,6.45,0.712,0.391,0.1478,9.497,28800.24,3803.6
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.014,3.525,0.4177,7.29,0.729,0.401,0.219,8.637,31694.97,4288.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.042,1.248,0.4122,6.45,0.834,0.402,0.181,9.825,28281.87,3899.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.046,1.277,0.4587,6.48,0.701,0.392,1.8784,10.247,29329.91,3928.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.411,1.183,0.4526,1.18,0.73,0.343,1.0557,8.935,19377.03,961.1
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.032,0.611,0.313,1.37,0.783,0.403,1.4624,10.272,15293.89,818.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.013,1.199,0.4312,2.14,0.703,0.473,0.2838,9.549,21693.82,1259.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.003,4.298,0.482,4.89,0.684,0.391,0.1478,8.296,35499.92,2846.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.045,3.697,0.4166,4.89,0.712,0.381,0.2774,8.639,30077.4,2965.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.498,0.749,0.459,1.32,0.704,0.406,1.7069,10.091,21383.26,1140.2
"Ga1-xCMn3+x (tuned, Tc=295.5K)",1.061,1.677,0.1971,1.05,0.83,0.561,0.7221,0.0,0.0,657.3
