material,mu0H_max_T,frequency_Hz,fluid_mdot_kgs,mass_regenerator_kg,regen_effectiveness,blow_fraction,particle_diameter_mm,COP_electrical,Qc_W,cost_index_USD
Gd,2.141,0.491,0.4887,2.14,0.621,0.487,1.2396,8.982,6257.49,2669.6
Gd,1.146,0.313,0.4945,2.11,0.721,0.389,1.1833,9.922,1585.24,1429.2
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.517,2.28,0.4988,1.2,0.616,0.416,1.3893,5.439,6318.34,1068.4
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.52,0.485,0.491,2.86,0.616,0.4,1.3535,8.979,6844.53,2549.9
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.276,1.034,0.49,1.27,0.917,0.418,1.2406,8.464,6315.99,952.0
"Gd5(SixGe1-x)4(-Ga) (tuned, Tc=285.3K)",1.291,0.495,0.491,1.16,0.621,0.42,1.2582,9.586,6237.37,883.2
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.561,0.411,0.4908,14.46,0.854,0.421,0.554,10.257,30957.6,13039.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.219,1.255,0.1532,3.93,0.711,0.37,0.3759,9.467,10567.87,2771.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.24,1.269,0.4908,4.86,0.854,0.371,0.5899,9.837,28931.87,3490.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.561,1.26,0.4908,14.46,0.854,0.42,0.5899,9.954,36816.13,13039.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.558,0.319,0.4908,5.41,0.732,0.419,0.5963,10.435,27551.91,4863.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.24,3.48,0.4909,4.86,0.853,0.421,0.5899,8.934,35963.74,3490.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.254,1.28,0.4917,7.78,0.61,0.389,0.6091,10.137,33376.9,5650.9
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.311,3.917,0.4968,2.21,0.701,0.369,0.6004,7.978,30865.48,1677.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.558,1.25,0.4908,5.41,0.856,0.42,0.5965,10.13,31748.5,4863.3
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.6,1.256,0.4909,8.11,0.616,0.421,0.3513,9.967,34637.97,7496.4
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.519,3.85,0.3547,1.05,0.916,0.31,1.0562,4.843,13393.82,921.0
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.516,2.396,0.4935,3.13,0.621,0.353,0.6008,8.557,28623.61,2740.8
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.531,1.283,0.496,14.44,0.866,0.371,0.5899,9.56,35017.21,12770.7
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.259,3.634,0.4917,7.78,0.723,0.389,0.6091,8.463,36648.69,5673.5
"La(Fe,Si)13Hy (tuned, Tc=285.3K)",1.516,2.579,0.4935,3.19,0.708,0.353,0.6008,8.423,29176.06,2795.2
"Ga1-xCMn3+x (tuned, Tc=295.5K)",1.254,3.37,0.3235,1.12,0.818,0.149,1.35,0.0,0.0,828.9
